Age,Gender,City,Subscription_Type,Monthly_Spending,Tenure,Number_of_Purchases,Customer_Support_Requests,Login_Frequency,Satisfaction_Score,Payment_Delay,Contract_Length,Total_Spending,Days_Since_Last_Activity,Churn_Status
36.0,1,7,2,2649.0,39,67,1,2,4.0,29,1,103311,58,0
37.0,1,0,2,1955.0,28,61,8,0,1.0,2,2,54740,77,1
45.0,0,4,0,690.0,57,25,7,1,1.0,5,1,39330,6,1
61.0,1,0,0,1171.0,45,45,4,1,5.0,10,2,52695,36,0
52.0,0,4,1,4555.0,19,57,1,2,1.0,16,1,86545,14,1
32.0,1,5,1,4396.0,31,54,5,1,3.0,15,1,136276,87,0
28.0,1,5,0,829.0,12,16,7,0,4.0,23,2,9948,28,0
25.0,1,4,2,2871.0,58,36,9,1,2.0,27,2,166518,50,1
45.0,0,4,1,3868.0,28,41,3,1,3.0,21,2,108304,63,0
34.0,0,0,1,3928.0,9,77,2,2,5.0,5,1,35352,82,0
22.0,0,0,1,4944.0,47,66,9,1,2.0,26,0,232368,5,1
50.0,0,5,1,5193.0,54,49,10,0,5.0,25,0,280422,63,1
42.0,0,5,1,5874.0,22,27,0,1,5.0,0,1,129228,1,0
38.0,0,7,2,2322.0,48,6,0,0,5.0,30,2,111456,5,0
55.0,0,6,2,2960.0,3,23,4,2,5.0,4,2,8880,74,0
27.0,1,6,1,4168.0,19,78,8,1,1.0,18,2,79192,45,1
30.0,1,0,1,4469.0,4,65,0,0,2.0,27,2,17876,72,1
56.0,0,2,0,749.0,26,34,5,0,3.0,26,1,19474,50,0
29.0,1,7,0,553.0,1,5,10,1,1.0,16,0,553,47,1
40.0,1,6,1,4252.0,15,14,1,1,3.0,18,1,63780,38,0
51.0,0,7,1,4329.0,38,30,10,0,3.0,30,1,164502,52,1
55.0,0,5,0,1483.0,33,79,6,1,2.0,18,2,48939,81,1
22.0,1,2,2,2399.0,29,10,7,1,1.0,9,0,69571,17,1
37.0,0,3,1,3068.0,24,34,5,1,5.0,1,0,73632,77,0
60.0,0,1,2,1610.0,43,23,6,0,3.0,21,2,69230,16,0
25.0,0,6,1,3359.0,4,4,7,0,1.0,2,2,13436,67,1
44.0,0,6,0,1171.0,29,50,9,0,3.0,18,1,33959,21,0
22.0,0,0,0,1103.0,18,42,5,0,5.0,5,1,19854,1,0
22.0,0,7,2,2023.0,41,46,1,2,1.0,13,0,82943,90,1
62.0,0,7,2,2596.0,27,26,8,2,1.0,21,1,70092,56,1
47.0,1,1,0,1330.0,43,48,0,1,2.0,3,1,57190,1,0
25.0,1,7,0,1366.0,49,52,7,2,2.0,27,1,66934,87,1
31.0,0,6,2,2909.0,24,26,10,1,3.0,6,0,69816,3,0
64.0,0,5,1,5797.0,23,18,9,0,3.0,18,0,133331,15,0
42.0,0,6,0,984.0,55,28,9,2,1.0,16,1,54120,86,1
43.0,0,5,1,3536.0,44,17,3,0,1.0,3,2,155584,10,0
20.0,1,6,0,608.0,41,18,3,2,2.0,14,1,24928,8,0
57.0,0,3,2,2247.0,49,42,8,2,5.0,5,2,110103,52,0
43.0,0,1,2,2966.0,34,56,10,1,5.0,5,2,100844,33,0
39.0,1,5,1,4733.0,21,70,6,0,4.0,29,2,99393,75,0
47.0,1,2,1,5870.0,31,9,6,2,3.0,18,0,181970,31,1
57.0,0,1,0,1047.0,37,24,5,2,2.0,19,1,38739,75,1
21.0,0,7,2,2145.0,15,51,8,2,2.0,14,1,32175,75,1
25.0,0,0,2,2958.0,26,45,4,2,2.0,21,0,76908,68,1
36.0,0,3,1,3224.0,20,20,0,0,4.0,14,0,64480,1,0
42.0,0,7,1,3319.0,14,38,4,1,3.0,30,2,46466,77,0
60.0,1,3,0,1172.0,3,6,1,1,2.0,4,0,3516,23,1
27.0,1,7,0,1397.0,44,13,7,2,2.0,19,2,61468,65,1
54.0,1,7,2,2284.0,9,9,10,0,3.0,29,1,20556,49,1
22.0,0,1,1,3235.0,60,50,4,0,3.0,8,2,194100,34,0
29.0,1,1,2,2012.0,35,40,5,1,4.0,28,2,70420,72,0
28.0,1,0,1,4252.0,41,14,2,0,5.0,4,1,174332,5,0
36.0,0,7,0,577.0,59,26,3,0,1.0,12,2,34043,42,0
42.0,1,2,1,5343.0,18,72,6,2,3.0,28,2,96174,38,0
50.0,1,3,2,2074.0,23,15,0,0,1.0,16,1,47702,66,1
31.0,0,2,1,5151.0,53,51,6,0,3.0,5,1,273003,6,0
20.0,1,5,2,2702.0,7,72,9,1,4.0,14,1,18914,29,0
50.0,0,6,1,3477.0,52,27,3,1,5.0,5,1,180804,57,0
50.0,1,0,1,3950.0,37,33,3,0,2.0,9,1,146150,5,0
27.0,0,5,1,4141.0,33,38,3,0,5.0,23,1,136653,52,0
32.0,0,7,0,1147.0,29,5,3,2,4.0,12,1,33263,2,0
44.0,1,6,1,5674.0,31,36,3,0,2.0,10,2,175894,27,0
22.0,0,4,0,510.0,20,74,7,2,2.0,13,1,10200,12,1
43.0,1,6,0,1115.0,13,62,1,2,1.0,0,1,14495,60,1
60.0,0,0,1,3355.0,12,68,4,0,5.0,7,1,40260,31,0
26.0,1,7,0,550.0,54,29,7,1,1.0,21,2,29700,11,1
40.0,0,6,1,5861.0,1,21,9,1,4.0,21,2,5861,87,1
18.0,0,6,2,2066.0,54,40,4,1,1.0,20,0,111564,9,1
27.0,0,7,2,1812.0,52,26,8,0,3.0,30,0,94224,25,0
43.0,0,4,2,1885.0,11,7,1,0,3.0,1,2,20735,17,0
60.0,0,5,1,3875.0,59,51,5,0,1.0,6,1,228625,52,0
23.0,0,6,2,2684.0,53,49,10,2,2.0,27,1,142252,85,1
24.0,1,2,1,4107.0,17,49,3,1,4.0,30,1,69819,61,0
57.0,1,1,0,826.0,49,1,6,1,3.0,26,2,40474,56,1
36.0,0,0,1,5717.0,32,29,0,0,5.0,28,2,182944,30,0
33.0,0,2,0,518.0,40,18,0,2,3.0,14,0,20720,66,0
45.0,0,1,2,1613.0,49,38,2,1,4.0,0,2,79037,8,0
46.0,1,0,0,1370.0,55,3,9,1,2.0,18,2,75350,34,1
50.0,0,1,1,3054.0,23,32,1,2,5.0,7,0,70242,65,0
20.0,1,0,2,1942.0,24,72,5,2,1.0,14,1,46608,67,1
50.0,0,1,0,763.0,28,34,2,2,3.0,15,1,21364,68,0
54.0,1,2,2,1968.0,54,14,6,2,2.0,6,0,106272,74,1
24.0,1,1,0,650.0,33,19,2,0,4.0,28,1,21450,60,0
35.0,1,7,0,1396.0,2,47,4,0,4.0,10,1,2792,2,0
20.0,1,5,2,2642.0,23,12,3,2,5.0,4,1,60766,38,0
47.0,0,0,1,4076.0,9,44,2,0,4.0,25,0,36684,86,0
61.0,1,7,1,3592.0,24,74,7,1,3.0,13,1,86208,87,1
42.0,1,1,0,1381.0,17,14,8,1,2.0,12,2,23477,25,1
56.0,1,1,0,1257.0,9,22,10,2,4.0,25,1,11313,58,1
46.0,0,0,0,1109.0,45,37,10,1,2.0,20,1,49905,42,1
53.0,0,6,0,1433.0,41,34,0,0,5.0,24,0,58753,76,0
40.0,0,7,2,1841.0,53,27,8,1,3.0,7,2,97573,12,0
62.0,1,1,2,2320.0,57,71,9,1,5.0,16,0,132240,26,1
42.0,1,1,2,2201.0,28,46,1,0,3.0,21,2,61628,65,0
53.0,0,6,0,1293.0,51,29,4,2,3.0,7,2,65943,11,0
53.0,0,5,2,1686.0,49,39,7,0,3.0,21,2,82614,55,0
64.0,0,6,0,1257.0,24,22,4,0,1.0,25,0,30168,36,1
64.0,0,4,1,4762.0,20,62,10,2,5.0,10,0,95240,73,0
43.0,1,7,1,4524.0,2,73,8,0,1.0,0,2,9048,89,1
60.0,1,0,1,5089.0,40,25,6,1,3.0,2,0,203560,44,0
47.0,0,6,2,2365.0,38,12,2,1,5.0,11,2,89870,59,0
42.0,0,6,0,1068.0,10,55,0,2,4.0,29,1,10680,80,0
41.0,0,4,2,2160.0,19,80,5,0,1.0,17,0,41040,89,1
42.0,1,4,2,1988.0,15,26,9,0,1.0,22,1,29820,26,1
38.0,0,5,1,3249.0,22,7,4,1,1.0,18,1,71478,48,1
25.0,1,4,2,2326.0,50,39,2,2,2.0,26,0,116300,17,1
31.0,0,3,1,5667.0,31,60,1,0,3.0,4,1,175677,43,0
57.0,0,3,0,682.0,26,39,7,0,1.0,3,1,17732,86,1
42.0,0,6,0,1221.0,13,33,9,1,4.0,29,1,15873,66,1
52.0,1,0,2,2284.0,42,30,10,0,5.0,12,1,85890,18,0
49.0,1,3,1,4914.0,32,39,3,0,5.0,29,0,157248,62,0
61.0,1,0,1,3271.0,57,56,8,1,2.0,29,2,186447,25,1
56.0,0,2,0,888.0,20,65,0,1,3.0,12,1,17760,14,0
47.0,1,1,2,1823.0,50,18,4,0,1.0,15,1,91150,65,0
63.0,0,5,2,2084.0,15,15,0,2,1.0,23,0,31260,68,1
29.0,0,1,2,1560.0,59,43,5,1,3.0,29,2,92040,77,0
51.0,1,2,2,2063.0,25,4,10,2,4.0,28,1,51575,63,1
62.0,0,3,2,2853.0,46,57,9,0,1.0,16,1,131238,3,1
23.0,0,1,2,1553.0,5,47,6,0,1.0,8,1,7765,20,1
59.0,0,4,1,5737.0,35,62,0,0,3.0,2,1,200795,13,0
64.0,0,4,0,828.0,25,68,4,0,2.0,10,0,20700,56,1
20.0,0,7,2,2487.0,59,29,8,1,3.0,24,1,146733,76,1
59.0,0,5,2,2986.0,9,40,8,0,5.0,10,2,26874,59,0
51.0,1,6,0,623.0,24,79,5,1,3.0,4,2,14952,48,0
43.0,0,2,2,1953.0,18,37,4,1,5.0,16,2,35154,40,0
62.0,0,3,1,3317.0,32,58,2,1,2.0,7,1,106144,77,1
62.0,1,2,2,2785.0,33,19,7,2,4.0,0,1,91905,59,0
65.0,0,2,2,2280.0,41,45,8,0,3.0,9,2,93480,63,0
44.0,0,4,1,3699.0,38,7,4,0,3.0,12,1,140562,58,0
48.0,1,2,0,925.0,23,10,10,0,5.0,29,2,21275,39,0
48.0,0,7,1,5403.0,18,2,6,1,2.0,12,1,97254,46,1
44.0,1,2,2,2756.0,49,17,7,1,2.0,27,2,135044,64,1
41.0,0,3,0,1174.0,45,70,2,2,2.0,8,0,52830,63,1
45.0,0,4,2,1834.0,60,37,5,2,4.0,19,0,110040,68,1
44.0,1,5,1,5571.0,17,22,0,0,2.0,21,0,94707,65,1
39.0,1,1,0,619.0,26,50,3,0,3.0,2,1,16094,52,0
29.0,1,6,1,3028.0,7,11,0,1,3.0,10,0,21196,58,0
40.0,0,0,2,2953.0,26,29,3,2,1.0,2,2,76778,13,0
58.0,1,6,2,2794.0,39,29,10,0,4.0,1,2,108966,47,0
31.0,1,2,2,2545.0,20,75,10,2,3.0,16,2,50900,56,1
45.0,0,5,1,3020.0,29,47,4,2,3.0,19,1,87580,6,0
36.0,0,7,2,2976.0,57,3,10,2,1.0,25,0,169632,38,1
32.0,1,5,1,4980.0,34,35,0,2,1.0,23,2,169320,12,0
35.0,0,0,0,991.0,15,80,10,0,4.0,13,1,14865,89,0
34.0,0,3,1,3519.0,29,79,10,0,2.0,19,2,102051,71,1
20.0,1,6,2,2459.0,29,44,4,1,4.0,25,2,71311,3,0
37.0,0,7,1,3526.0,46,25,6,1,1.0,29,2,162196,84,1
53.0,0,1,1,4701.0,9,48,8,1,4.0,30,2,42309,86,1
19.0,1,0,2,2083.0,24,11,0,1,5.0,17,2,49992,64,0
35.0,0,1,0,994.0,46,38,10,2,5.0,24,1,45724,33,0
55.0,0,1,0,891.0,41,11,5,1,3.0,23,2,36531,41,0
34.0,0,0,0,1388.0,12,46,5,2,4.0,19,1,16656,33,0
27.0,0,4,0,1427.0,40,2,0,2,1.0,8,0,57080,77,1
47.0,1,7,1,5636.0,33,26,5,0,2.0,5,2,185988,90,0
63.0,0,4,0,642.0,58,44,0,2,3.0,28,0,37236,67,1
23.0,0,2,2,2273.0,9,73,6,2,1.0,17,2,20457,76,1
25.0,0,5,1,4713.0,8,62,3,2,3.0,30,0,37704,7,0
28.0,1,6,0,707.0,20,4,5,0,2.0,21,2,14140,26,0
20.0,0,7,1,3873.0,41,14,10,1,2.0,21,2,158793,12,1
40.0,0,0,1,5956.0,12,25,2,2,2.0,18,0,71472,55,1
63.0,1,3,0,1184.0,36,8,6,2,5.0,22,1,42624,32,0
61.0,1,2,0,1465.0,18,18,2,0,5.0,23,0,26370,59,0
20.0,0,6,2,2254.0,28,35,5,0,1.0,6,2,63112,76,0
47.0,0,1,2,1658.0,21,58,7,0,4.0,4,0,34818,4,0
45.0,0,5,2,2905.0,44,20,7,1,2.0,16,2,127820,51,1
49.0,0,7,2,1919.0,41,66,1,2,4.0,5,0,78679,39,0
59.0,0,2,1,4394.0,51,58,5,2,5.0,11,2,224094,3,0
62.0,0,3,2,1520.0,18,15,0,2,3.0,25,0,27360,8,0
53.0,1,6,0,977.0,48,42,1,0,5.0,4,0,46896,38,0
62.0,1,3,2,1817.0,41,60,7,1,1.0,19,0,74497,2,1
56.0,1,2,1,5938.0,6,28,1,1,3.0,4,2,35628,5,0
42.0,1,7,2,1959.0,40,56,3,1,5.0,22,2,78360,47,0
48.0,1,0,0,509.0,11,67,5,1,2.0,28,2,5599,10,1
29.0,0,1,0,860.0,30,1,4,0,4.0,7,0,25800,43,0
29.0,1,3,2,1812.0,1,64,5,1,4.0,27,2,1812,37,0
64.0,0,3,0,703.0,37,37,0,2,1.0,23,0,26011,44,1
45.0,1,5,1,4742.0,47,6,10,1,5.0,19,2,222874,78,1
19.0,1,6,2,2010.0,9,37,3,2,2.0,28,2,18090,1,0
52.0,1,6,1,5532.0,6,59,4,1,1.0,16,2,33192,51,1
31.0,1,0,2,1989.0,12,20,4,0,2.0,23,0,23868,43,1
51.0,1,6,2,2829.0,25,29,8,2,3.0,17,2,70725,23,0
61.0,1,6,1,5198.0,38,45,3,2,2.0,9,0,197524,8,0
38.0,1,4,1,4014.0,1,8,5,1,5.0,14,0,4014,86,1
64.0,1,0,1,5358.0,34,43,9,0,2.0,17,2,182172,17,1
43.0,0,5,1,3302.0,8,76,10,0,1.0,13,1,26416,68,1
50.0,0,5,0,646.0,1,31,4,0,5.0,8,0,646,90,0
45.0,1,5,2,2509.0,2,64,5,1,1.0,0,1,5018,41,1
42.0,0,6,2,2280.0,48,73,4,2,5.0,30,2,109440,75,0
21.0,1,4,2,2904.0,34,4,5,2,3.0,5,2,98736,82,0
30.0,0,4,0,778.0,41,75,0,0,1.0,20,1,31898,15,0
18.0,1,2,0,1210.0,12,15,4,1,3.0,27,1,14520,89,1
50.0,1,4,0,1235.0,49,35,5,0,2.0,10,0,60515,72,1
63.0,0,2,2,2341.0,14,66,8,2,3.0,20,2,32774,26,0
25.0,0,3,2,2973.0,48,70,4,0,5.0,25,1,142704,25,0
29.0,0,2,1,2284.0,5,37,3,0,3.0,15,0,16515,87,0
23.0,1,6,0,997.0,46,43,4,1,3.0,22,1,45862,80,1
64.0,0,2,2,2647.0,53,15,8,0,4.0,10,0,140291,51,0
32.0,0,3,1,2284.0,4,13,5,0,3.0,1,2,15152,78,0
21.0,0,3,0,872.0,48,52,10,2,5.0,14,2,41856,28,0
52.0,0,4,2,2667.0,8,36,1,1,2.0,16,0,21336,77,1
21.0,1,5,0,844.0,26,75,6,1,4.0,9,2,21944,39,0
30.0,1,2,1,5359.0,31,42,9,0,4.0,19,0,166129,68,1
24.0,0,5,2,2908.0,54,44,7,2,5.0,9,0,157032,47,1
30.0,0,0,1,4300.0,55,9,9,2,1.0,14,2,236500,10,0
41.0,1,3,0,1132.0,58,42,7,1,1.0,25,2,65656,37,1
21.0,1,2,2,2163.0,50,19,3,2,4.0,6,2,108150,74,0
42.0,0,6,1,3914.0,18,36,9,2,1.0,22,1,70452,69,1
64.0,0,7,1,3482.0,49,33,6,1,5.0,16,1,170618,22,0
65.0,0,2,2,1918.0,37,71,10,0,2.0,8,2,70966,78,1
30.0,0,0,0,753.0,57,25,1,1,3.0,6,1,42921,85,0
35.0,1,3,0,1053.0,3,39,8,2,1.0,10,0,3159,24,1
63.0,1,0,2,2741.0,19,42,6,2,5.0,13,0,52079,36,0
57.0,1,6,1,3352.0,37,36,2,2,1.0,7,0,124024,70,1
58.0,1,5,1,3707.0,39,13,0,0,4.0,1,0,144573,60,0
22.0,0,2,2,1659.0,44,21,7,0,2.0,2,0,72996,44,1
20.0,0,3,2,2653.0,22,44,1,1,1.0,2,1,58366,87,1
47.0,0,5,1,3661.0,52,44,9,0,4.0,4,1,190372,77,0
46.0,0,2,2,2826.0,31,55,9,1,1.0,22,1,87606,16,1
29.0,1,6,1,4423.0,17,12,7,2,4.0,2,0,75191,16,0
47.0,0,2,0,778.0,45,5,3,2,4.0,0,2,35010,30,0
38.0,0,2,2,1905.0,20,72,6,2,3.0,20,2,38100,16,1
29.0,0,7,2,2237.0,38,14,3,1,1.0,22,0,85006,66,1
58.0,1,7,2,2269.0,21,73,0,2,3.0,2,2,47649,52,0
40.0,1,7,0,695.0,26,55,5,1,3.0,21,1,18070,43,0
32.0,1,1,1,4339.0,22,12,0,1,2.0,5,2,95458,82,1
62.0,1,1,1,4693.0,35,78,5,2,3.0,15,1,164255,7,0
31.0,0,4,1,3398.0,9,21,2,2,2.0,26,0,30582,2,1
52.0,0,2,2,2729.0,18,20,1,2,2.0,24,2,49122,66,1
42.0,0,0,1,4312.0,54,36,0,1,5.0,19,1,232848,3,0
52.0,1,0,2,2401.0,41,25,4,2,2.0,7,0,98441,21,0
51.0,1,4,2,2036.0,4,79,3,1,5.0,27,2,8144,12,0
49.0,1,5,2,1591.0,32,13,3,0,2.0,28,2,50912,60,1
23.0,1,6,1,4884.0,32,43,1,0,4.0,22,0,156288,83,0
48.0,0,6,1,2284.0,51,34,9,1,1.0,1,0,231540,11,1
48.0,0,2,2,2986.0,56,73,6,0,3.0,8,0,167216,21,0
26.0,1,3,0,689.0,28,7,0,0,4.0,3,1,19292,40,0
34.0,0,1,2,2882.0,37,52,3,2,4.0,27,1,106634,38,0
56.0,0,5,2,2586.0,50,63,2,0,3.0,27,2,129300,86,0
31.0,1,4,0,1240.0,7,5,6,2,2.0,29,0,8680,21,1
55.0,0,0,2,2160.0,15,10,6,0,2.0,23,2,32400,39,1
22.0,1,4,0,512.0,1,53,1,0,5.0,12,2,512,32,0
53.0,1,4,2,2494.0,17,60,10,0,5.0,19,2,42398,55,0
43.0,0,1,1,3545.0,4,52,1,0,3.0,8,0,14180,52,0
46.0,0,5,1,5601.0,38,21,9,2,5.0,16,0,212838,64,1
34.0,1,5,1,3392.0,56,41,0,2,2.0,27,0,189952,48,1
46.0,0,0,0,509.0,33,58,7,1,5.0,27,1,16797,75,1
51.0,0,7,0,1454.0,8,72,0,1,3.0,27,0,11632,87,1
41.0,1,0,0,966.0,45,69,0,0,5.0,7,2,43470,77,0
25.0,1,4,1,3086.0,57,43,0,1,3.0,18,2,175902,24,0
52.0,0,1,0,516.0,24,5,3,1,5.0,7,2,12384,58,0
48.0,1,6,0,727.0,46,11,3,2,3.0,6,1,33442,28,0
60.0,1,6,1,4284.0,58,5,5,2,2.0,5,2,248472,81,0
48.0,0,7,1,3359.0,8,25,8,1,2.0,14,1,26872,50,1
20.0,0,7,2,2905.0,49,68,8,0,1.0,24,2,142345,62,1
27.0,0,6,2,2151.0,21,2,5,2,5.0,20,2,45171,32,0
48.0,0,1,0,787.0,16,32,1,0,3.0,9,0,12592,15,0
34.0,0,3,1,5230.0,40,73,8,2,3.0,13,1,209200,89,0
39.0,1,2,2,1913.0,52,44,2,1,1.0,23,0,99476,21,1
52.0,0,6,1,4567.0,58,39,0,1,4.0,8,1,264886,47,0
35.0,1,7,2,2920.0,21,21,7,2,4.0,10,0,61320,86,1
39.0,0,3,2,2868.0,43,22,1,0,2.0,28,1,123324,85,1
32.0,1,5,0,782.0,52,50,2,2,4.0,12,0,40664,22,0
60.0,1,4,0,1200.0,37,56,2,0,3.0,22,2,44400,29,0
47.0,0,1,0,607.0,39,25,4,1,2.0,25,1,23673,16,1
25.0,0,1,1,4899.0,1,5,2,2,1.0,3,1,4899,64,1
59.0,1,2,0,990.0,34,10,4,2,3.0,26,0,33660,66,1
58.0,1,5,0,512.0,48,9,3,2,4.0,21,0,24576,90,1
29.0,0,2,0,1473.0,17,14,8,1,2.0,20,1,25041,20,1
28.0,0,2,0,1254.0,16,70,7,2,3.0,4,2,20064,58,0
21.0,1,7,1,4404.0,47,4,3,1,2.0,23,1,206988,26,1
54.0,0,3,1,4492.0,38,54,7,2,5.0,9,0,170696,38,0
63.0,0,1,1,3187.0,4,57,3,0,1.0,22,0,12748,71,1
21.0,0,2,1,3525.0,29,3,7,0,5.0,15,2,102225,58,0
21.0,1,5,2,2265.0,56,24,1,1,2.0,18,2,126840,31,1
36.0,0,4,2,2842.0,49,22,7,0,5.0,11,0,139258,30,0
55.0,0,2,2,2426.0,53,64,2,1,5.0,3,2,128578,55,0
50.0,1,4,0,1330.0,18,47,10,1,1.0,27,1,23940,45,1
50.0,0,1,1,3197.0,17,4,3,2,3.0,14,2,54349,70,0
64.0,0,1,0,623.0,14,75,6,1,1.0,25,2,8722,16,1
42.0,0,3,2,1999.0,57,61,9,1,2.0,2,0,113943,77,1
60.0,1,3,2,1753.0,49,70,0,2,3.0,12,2,85897,51,0
36.0,0,6,2,2046.0,42,46,9,1,3.0,4,2,85932,64,0
